Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Alectoria sarmentosa,alesar,1200192,Okanogan-Wenatchee National Forest,46.77,-121.31,William O. Douglas Wilderness,6.0,2011.0,0.17,1.05,266.06,0.565,480.41,1360.2,0.034,5400.0,-0.889,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,blank,,,,,,6.0,2011.0,,,,0.0,,,0.004,,,,,,,
Sphaerophorus globosus,sphglo,1090040,Siuslaw National Forest,44.07,-123.98,,6.0,1995.0,0.5,5.9,25.4,0.38,491.0,1346.0,0.034,700.0,-0.015,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
,evepru,ARM156,Columbia River Gorge National Scenic Area,45.543,-122.248,,6.0,2004.0,2.111,4.823,46.756,1.52,1010.6,3388.2,0.149,50.0,1.023,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Platismatia glauca,plagla,1278176-N,Mt Baker-Snoqualmie National Forest,48.706,-121.582,Noisy-Diobsud Wilderness,6.0,2007.0,0.504,2.445,308.87,0.555,508.99,2261.6,0.049,,-0.606,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,AnaPin03,Beaverhead-Deerlodge National Forest,45.862,-113.439,Anaconda Pintler Wilderness,14.0,2000.0,3,2.0,172.0,,858.0,2970.0,0.043,6400.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,Monong026B,Monongahela National Forest,39.019,-79.65,Otter Creek Wilderness,89.0,1992.0,,6.592,116.554,1.4,1384.33,4204.78,0.132,2293.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1122144,Mt. Hood National Forest,44.86,-122.2,Bull of the Woods Wilderness,6.0,2011.0,0.97,2.44,799.67,0.594,775.2,1579.3,0.041,4400.0,-0.435,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,rice1006,,,,,,6.0,2006.0,,,,1.04,,,0.088,,,,,,,
Alectoria sarmentosa,alesar,BobMar42,Flathead National Forest,47.936,-113.307,,14.0,2003.0,2.25,2.54,37.7,,231.0,800.0,0.031,,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,blank,,,,,,6.0,2006.0,0.28,0.34,0.06,-0.008,7.4,5.92,,,,,,,,
Hypogymnia inactiva,hypina,CRG56B,Columbia River Gorge National Scenic Area,45.721,-121.414,,6.0,1998.0,,,,,,,0.104,1600.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,KLGO_IJB,Klondike Goldrush National Historic Park,59.455,-135.305,,10.0,2009.0,1.252,6.462,46.958,0.71,1175.8,2760.6,0.116,51.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,rlv,,,,,,6.0,2011.0,,,,2.19,,,0.17,,,,,,,
Letharia vulpina,letvul,1028208,Fremont-Winema National Forests,42.53,-121.16,,6.0,2003.0,0.734,1.494,37.265,0.91,693.77,2239.7,0.06,4700.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,moss,,,,,,6.0,2009.0,,,,0.116,,,0.116,,,,,,,
Alectoria sarmentosa,alesar,TNF220,Tongass N.F.,56.702,-134.021,,10.0,1992.0,,,,0.21,,,,305.0,-1.073,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,usnsubl,SanRio13,San Juan National Forest,37.821,-107.953,Lizard Head Wilderness,14.0,1994.0,2.89,15.6,180.0,,1380.0,5740.0,0.144,11400.0,,Stirton,Beard lichen,intermediate,usnsubl,Usnea sublaxa
Hypogymnia inactiva,hypina,Alsea-1,BLM Public Domain Land,44.394,-123.624,,6.0,1998.0,1.58,29.86,124.6,0.373,894.7,2250.0,0.071,500.0,-0.307,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Hypogymnia enteromorpha,hypent,MTHW08,Mt. Hood National Forest,45.357,-121.793,Mount Hood Wilderness,6.0,1993.0,1.6,5.5,90.0,,0.0,0.0,,3280.0,,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Alectoria sarmentosa,alesar,KLGO_GG,Klondike Goldrush National Historic Park,59.57,-135.152,,10.0,2009.0,0.475,1.277,159.56,0.557,632.3,1949.3,0.031,,-0.568,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1028208,Fremont-Winema National Forests,42.53,-121.16,,6.0,2003.0,1.079,1.502,41.357,0.78,518.16,1987.7,0.05,4700.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,rhimel,ElyRD07,Humboldt-Toiyabe National Forest,39.042,-115.301,Bald Mountain Wilderness,14.0,2010.0,5.52,5.41,8.32,0.8,300.0,1000.0,0.05,,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
Hypogymnia inactiva,hypina,FIA025,Columbia River Gorge National Scenic Area,45.691,-121.998,,6.0,2000.0,0.964,3.656,227.73,,848.76,2954.4,,2673.0,0.171,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,CmprsLk,Willamette National Forest,44.22,-121.867,Three Sisters Wilderness,6.0,1993.0,,,,,,,0.046,4840.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia inactiva,hypina,CRG70,Columbia River Gorge National Scenic Area,45.716,-121.922,,6.0,2009.0,1.896,4.452,89.015,0.71,1325.0,3718.4,0.041,493.0,0.047,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,alesarwil,,,,,,6.0,2006.0,,,,0.488,,,0.049,,,,,,,
,alesarwil,,,,,,6.0,2007.0,,,,0.446,,,0.048,,,,,,,
Hypogymnia imshaugii,hypims,1110172,Deschutes National Forest,44.56,-121.72,,6.0,2004.0,0.971,4.025,246.02,1.13,1141.8,2284.4,0.026,4200.0,-0.513,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,Stark602,Wallowa-Whitman National Forest,45.216,-118.509,,6.0,2000.0,1.28,3.38,77.78,0.594,1213.62,2139.6,0.059,4120.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1264200,Mt Baker-Snoqualmie National Forest,48.34,-121.11,Glacier Peak Wilderness,6.0,2012.0,0.72,2.64,693.09,0.43,976.71,2242.6,0.044,4300.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,Stark428,Wallowa-Whitman National Forest,45.208,-118.492,,6.0,2000.0,5.4,2.464,92.645,0.466,1064.6,2264.4,0.069,4000.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,MTHW24,Mt. Hood National Forest,45.382,-121.836,Mount Hood Wilderness,6.0,1993.0,16,2.9,260.0,,0.0,0.0,,2360.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,peach1547,,,,,,6.0,2006.0,,,,,,,0.16,,,,,,,
Alectoria sarmentosa,alesar,TNF568,Tongass N.F.,56.058,-132.961,,10.0,2011.0,0.05,0.46,70.85,0.31,159.15,765.31,0.027,15.0,-1.149,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
